SOD2,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,SOD2,22.68129121,24.23565505,,23.45847313
Thy_37_TN,SOD2,26.31738654,27.19984049,,26.75861351
Thy_39_TN,SOD2,27.23877556,28.67727244,,27.958024
Thy_42_TN,SOD2,26.84890972,27.07916961,,26.96403967
Thy_44_TN,SOD2,22.72932005,24.16177992,,23.44554999
Thy_45_TN,SOD2,26.53816611,26.00438311,,26.27127461
Thy_1_HS,SOD2,26.37433863,27.06432397,,26.7193313
Thy_3_HS,SOD2,27.47921986,27.31472845,,27.39697415
Thy_5_HS,SOD2,26.74696806,26.96738097,,26.85717451
Thy_6_HS,SOD2,26.57879383,27.0634707,,26.82113227
Thy_7_HS,SOD2,28.49359299,29.17229327,,28.83294313
Thy_50_HS,SOD2,26.12774168,26.08603262,,26.10688715
Thy_29_HSAX,SOD2,25.36941607,25.60234549,,25.48588078
Thy_34_HSAX,SOD2,25.78259404,26.98488068,,26.38373736
Thy_71_HSAX,SOD2,22.86704642,23.99772653,,23.43238648
Thy_73_HSAX,SOD2,25.05623877,25.17058745,,25.11341311
Thy_76_HSAX,SOD2,25.12595665,25.82298786,,25.47447226
Thy_78_HSAX,SOD2,28.0404312,28.72771297,,28.38407209
