PRDX1,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,PRDX1,19.04439351,19.11160361,,19.07799856
Thy_37_TN,PRDX1,21.73769031,21.85778717,,21.79773874
Thy_39_TN,PRDX1,22.00388368,21.94303103,,21.97345735
Thy_42_TN,PRDX1,21.12338461,21.39209885,,21.25774173
Thy_44_TN,PRDX1,19.87185289,19.93281898,,19.90233594
Thy_45_TN,PRDX1,20.50260697,20.41183128,,20.45721912
Thy_1_HS,PRDX1,19.59294165,19.54894556,,19.5709436
Thy_3_HS,PRDX1,20.73770745,20.72103391,,20.72937068
Thy_5_HS,PRDX1,20.93644708,20.89238572,,20.9144164
Thy_6_HS,PRDX1,20.15078993,20.10348924,,20.12713959
Thy_7_HS,PRDX1,21.18608412,21.10583814,,21.14596113
Thy_50_HS,PRDX1,20.5750784,20.6021615,,20.58861995
Thy_29_HSAX,PRDX1,18.9459503,19.01016909,,18.9780597
Thy_34_HSAX,PRDX1,19.27356913,19.08990388,,19.18173651
Thy_71_HSAX,PRDX1,21.78579749,21.78981389,,21.78780569
Thy_73_HSAX,PRDX1,20.35530492,20.55153668,,20.4534208
Thy_76_HSAX,PRDX1,21.96888993,21.85417865,,21.91153429
Thy_78_HSAX,PRDX1,29.2580151,30.22737941,,29.74269726
