PRDX4,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,PRDX4,22.71268343,22.90835629,,22.81051986
Thy_37_TN,PRDX4,25.08775894,25.03550848,,25.06163371
Thy_39_TN,PRDX4,25.67552221,25.70193272,,25.68872746
Thy_42_TN,PRDX4,25.24768316,25.30739123,,25.2775372
Thy_44_TN,PRDX4,23.69619896,23.88547982,,23.79083939
Thy_45_TN,PRDX4,24.6958528,24.69547841,,24.6956656
Thy_1_HS,PRDX4,23.97928237,24.22608234,,24.10268235
Thy_3_HS,PRDX4,24.82063851,24.67656986,,24.74860418
Thy_5_HS,PRDX4,24.1285336,24.46303804,,24.29578582
Thy_6_HS,PRDX4,24.02796222,24.1400888,,24.08402551
Thy_7_HS,PRDX4,24.53644026,25.24868945,,24.89256486
Thy_50_HS,PRDX4,24.57622469,24.47454156,,24.52538313
Thy_29_HSAX,PRDX4,23.34341081,23.3863319,,23.36487135
Thy_34_HSAX,PRDX4,24.29872705,24.77245152,,24.53558929
Thy_71_HSAX,PRDX4,24.97834584,24.96893103,,24.97363844
Thy_73_HSAX,PRDX4,24.09584203,24.10167243,,24.09875723
Thy_76_HSAX,PRDX4,25.17161234,25.61489422,,25.39325328
Thy_78_HSAX,PRDX4,30.32805455,29.92296288,,30.12550872
