PRDX3,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,PRDX3,22.31811494,22.14016859,,22.22914177
Thy_37_TN,PRDX3,24.29244073,24.24758675,,24.27001374
Thy_39_TN,PRDX3,24.88306193,24.65072543,,24.76689368
Thy_42_TN,PRDX3,24.13077187,24.07205309,,24.10141248
Thy_44_TN,PRDX3,23.12241797,23.14993299,,23.13617548
Thy_45_TN,PRDX3,23.7856475,23.5293592,,23.65750335
Thy_1_HS,PRDX3,23.1174797,23.1382152,,23.12784745
Thy_3_HS,PRDX3,24.07943897,24.12731128,,24.10337512
Thy_5_HS,PRDX3,23.84052972,23.8968715,,23.86870061
Thy_6_HS,PRDX3,23.22966418,23.34546569,,23.28756494
Thy_7_HS,PRDX3,24.11368923,23.94030508,,24.02699715
Thy_50_HS,PRDX3,24.03305721,24.08373828,,24.05839774
Thy_29_HSAX,PRDX3,22.58935568,22.56608516,,22.57772042
Thy_34_HSAX,PRDX3,23.15498953,23.17365816,,23.16432385
Thy_71_HSAX,PRDX3,24.35682904,24.17076909,,24.26379907
Thy_73_HSAX,PRDX3,23.25709876,23.3050728,,23.28108578
Thy_76_HSAX,PRDX3,25.02149741,24.8226578,,24.92207761
Thy_78_HSAX,PRDX3,28.15775727,28.78421142,,28.47098434
