GPX3,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,GPX3,22.57413875,22.82970713,,22.70192294
Thy_37_TN,GPX3,25.0979035,25.2509383,,25.1744209
Thy_39_TN,GPX3,23.71074322,23.8265982,,23.76867071
Thy_42_TN,GPX3,24.18399934,24.22975197,,24.20687565
Thy_44_TN,GPX3,21.8359307,21.65999744,,21.74796407
Thy_45_TN,GPX3,22.94047125,22.68823226,,22.81435175
Thy_1_HS,GPX3,22.65644657,22.65228181,,22.65436419
Thy_3_HS,GPX3,23.42131902,23.20342787,,23.31237345
Thy_5_HS,GPX3,22.66015131,22.66711869,,22.663635
Thy_6_HS,GPX3,23.29170893,23.2680921,,23.27990051
Thy_7_HS,GPX3,23.8922347,24.99807757,,24.44515614
Thy_50_HS,GPX3,23.4066997,23.28542409,,23.34606189
Thy_29_HSAX,GPX3,23.15288752,22.99659972,,23.07474362
Thy_34_HSAX,GPX3,23.08955075,23.08363582,,23.08659329
Thy_71_HSAX,GPX3,23.3992513,23.37964938,,23.38945034
Thy_73_HSAX,GPX3,22.66321499,22.71642394,,22.68981947
Thy_76_HSAX,GPX3,23.80011088,23.86638269,,23.83324678
Thy_78_HSAX,GPX3,25.43564471,25.59059482,,25.51311977
