GPX2,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,GPX2,29.0150023,28.14722471,,28.5811135
Thy_37_TN,GPX2,29.26377029,29.52951759,,29.39664394
Thy_39_TN,GPX2,27.70197207,27.35642845,,27.52920026
Thy_42_TN,GPX2,28.05939623,27.86155582,,27.96047603
Thy_44_TN,GPX2,26.08070073,26.31515543,,26.19792808
Thy_45_TN,GPX2,26.12392216,26.23450062,,26.17921139
Thy_1_HS,GPX2,25.501457,25.69342939,,25.5974432
Thy_3_HS,GPX2,26.24239789,26.21500204,,26.22869997
Thy_5_HS,GPX2,25.81121575,26.1140315,,25.96262362
Thy_6_HS,GPX2,25.80675369,25.75511894,,25.78093632
Thy_7_HS,GPX2,26.77665307,26.58222437,,26.67943872
Thy_50_HS,GPX2,26.29601749,26.31290237,,26.30445993
Thy_29_HSAX,GPX2,26.70520588,26.9338682,,26.81953704
Thy_34_HSAX,GPX2,28.51239928,29.03597595,,28.77418761
Thy_71_HSAX,GPX2,26.31412147,26.48232934,,26.39822541
Thy_73_HSAX,GPX2,26.30744259,27.08455711,,26.69599985
Thy_76_HSAX,GPX2,27.0200636,26.85139099,,26.9357273
Thy_78_HSAX,GPX2,30.04406648,29.33709236,,29.69057942
